#{"t_start": 1732811639.8356025, "env_id": "InvertedDoublePendulum-v4"}
r,l,t
35.385896,4,12.198644
35.285731,4,12.202008
35.263201,4,12.232884
26.902165,3,12.235662
35.289244,4,12.265982
35.176017,4,12.269305
35.293406,4,12.299808
35.161709,4,12.303224
26.794367,3,12.326648
35.187138,4,12.330002
26.83842,3,12.351811
26.916015,3,12.354497
26.86436,3,12.377856
35.201149,4,12.381117
35.378949,4,12.412634
35.256279,4,12.416017
26.937119,3,12.439244
35.256871,4,12.442563
26.955263,3,12.466654
26.938506,3,12.469236
35.20161,4,12.499633
35.289211,4,12.503122
26.962379,3,12.526388
35.33455,4,12.530017
26.853337,3,12.552065
26.846032,3,12.554754
26.785091,3,12.577922
35.156392,4,12.58118
35.152913,4,12.610688
35.201982,4,12.614267
26.92069,3,12.637518
35.184935,4,12.641007
35.281253,4,12.671197
35.091048,4,12.674741
35.229063,4,12.705883
26.877861,3,12.708637
35.262137,4,12.739758
35.336578,4,12.743179
35.284095,4,12.774956
35.321371,4,12.778273
26.880767,3,12.801611
26.958708,3,12.804425
35.208147,4,12.836863
35.183361,4,12.840876
35.133423,4,12.873786
26.933056,3,12.876354
35.246381,4,12.90642
35.210607,4,12.910019
26.890918,3,12.933312
35.27356,4,12.936771
35.121123,4,12.967624
26.91004,3,12.970432
35.288055,4,13.002167
35.275036,4,13.005487
35.336701,4,13.035746
26.768791,3,13.038498
26.924904,3,13.062123
26.912574,3,13.064701
35.189237,4,13.095969
26.821017,3,13.098552
26.887929,3,13.121586
26.794565,3,13.124134
35.363878,4,13.15517
26.870265,3,13.157795
26.849757,3,13.181201
35.171599,4,13.18449
26.891901,3,13.207629
26.910437,3,13.210261
26.979447,3,13.233495
35.222565,4,13.236986
35.170956,4,13.267311
35.356111,4,13.271046
26.885108,3,13.294327
35.203751,4,13.297863
26.893703,3,13.320534
26.921434,3,13.3234
26.941187,3,13.345551
35.298331,4,13.349267
26.872364,3,13.372457
26.783957,3,13.375277
35.227366,4,13.40616
35.17645,4,13.409801
26.912138,3,13.433098
26.919206,3,13.435976
26.902376,3,13.459521
26.919073,3,13.462133
26.916119,3,13.48473
26.896137,3,13.487467
35.352774,4,13.519336
35.224533,4,13.523009
26.841021,3,13.546091
26.836989,3,13.548919
35.311719,4,13.578819
35.309413,4,13.582097
26.868194,3,13.605973
26.966816,3,13.608606
26.923852,3,13.631372
26.889793,3,13.634164
26.914283,3,13.657626
26.914741,3,13.660554
26.855125,3,13.684084
26.957365,3,13.687127
26.906796,3,13.710964
35.218057,4,13.71426
26.933124,3,13.73786
35.318781,4,13.741237
26.875241,3,13.764099
35.286129,4,13.76753
26.956942,3,13.790299
35.218935,4,13.793836
35.259697,4,13.824292
26.796129,3,13.827053
26.95618,3,13.850105
35.134308,4,13.853525
35.361741,4,13.884165
35.319922,4,13.887479
26.833512,3,13.910921
26.879667,3,13.913555
26.87638,3,13.938229
26.900277,3,13.941038
35.322971,4,13.972352
35.358187,4,13.975912
35.246979,4,14.007977
35.224431,4,14.011462
35.252944,4,14.042932
26.799108,3,14.045498
26.791883,3,14.068099
26.904697,3,14.070784
26.88581,3,14.093539
26.948203,3,14.096236
26.868971,3,14.118631
35.324127,4,14.122083
35.145908,4,14.153079
35.337406,4,14.156719
35.367233,4,14.187526
26.939646,3,14.190223
26.833984,3,14.213187
35.13451,4,14.2165
26.766076,3,14.240268
26.858902,3,14.242859
26.852686,3,14.266534
35.299853,4,14.270025
35.098852,4,14.300684
35.271915,4,14.304108
26.872043,3,14.327333
26.884297,3,14.330135
35.306724,4,14.361744
26.956235,3,14.364412
26.908898,3,14.388906
26.908324,3,14.391554
35.195978,4,14.421971
35.178838,4,14.425301
26.947254,3,14.447962
35.305965,4,14.451305
26.901585,3,14.479664
26.869884,3,14.482387
26.868839,3,14.509001
35.248129,4,14.512251
35.27387,4,14.545953
26.967415,3,14.548783
35.167553,4,14.582079
26.816722,3,14.584884
26.91028,3,14.609279
26.795034,3,14.61183
26.888126,3,14.635876
26.880127,3,14.638804
26.886143,3,14.663838
26.922776,3,14.666497
35.147898,4,14.697599
35.232823,4,14.70098
26.844669,3,14.724377
26.740792,3,14.727066
26.894798,3,14.750094
35.227115,4,14.753747
26.93074,3,14.778283
26.893784,3,14.780893
26.871546,3,14.803744
35.137729,4,14.807422
35.313619,4,14.837905
35.316041,4,14.841344
35.421717,4,14.873414
26.893834,3,14.876074
35.156208,4,14.9064
35.201836,4,14.90997
26.953232,3,14.934328
35.262255,4,14.938072
26.927341,3,14.961392
26.835578,3,14.964182
26.806359,3,14.98806
35.214872,4,14.991569
35.356496,4,15.023861
26.80354,3,15.026625
26.946329,3,15.051468
26.917346,3,15.054492
26.92372,3,15.079115
26.945443,3,15.082114
35.216102,4,15.113298
26.89914,3,15.116011
35.174701,4,15.146368
26.904866,3,15.149232
26.919813,3,15.17239
26.923612,3,15.174988
26.87653,3,15.199534
26.844789,3,15.202127
26.94614,3,15.225311
26.921658,3,15.227955
35.272023,4,15.258846
26.904281,3,15.261856
35.300186,4,15.294535
35.242351,4,15.297956
26.767066,3,15.321994
35.187608,4,15.325331
35.141272,4,15.355977
35.267989,4,15.359504
26.880811,3,15.38188
35.357275,4,15.385113
35.315332,4,15.416237
26.96065,3,15.419136
26.979737,3,15.443009
26.953774,3,15.445778
35.125005,4,15.477557
35.31365,4,15.481009
35.238051,4,15.512614
35.308654,4,15.515893
35.273384,4,15.547372
26.965381,3,15.550132
35.243919,4,15.580573
26.891707,3,15.583191
26.926981,3,15.606281
26.86694,3,15.608941
35.217232,4,15.639999
35.362592,4,15.643564
35.412431,4,15.674585
35.329278,4,15.678226
26.944732,3,15.701173
26.80854,3,15.703951
35.186937,4,15.735533
35.285673,4,15.739232
26.859421,3,15.770926
35.219114,4,15.774288
26.997324,3,15.797344
35.325277,4,15.800647
35.251855,4,15.8306
26.804568,3,15.833148
35.310556,4,15.864897
35.256187,4,15.86823
26.929375,3,15.892603
26.944274,3,15.895267
35.318083,4,15.925597
35.307102,4,15.928885
26.875648,3,15.952345
35.271509,4,15.955926
35.348803,4,15.98635
35.36068,4,15.990151
26.809772,3,16.013158
35.240104,4,16.016756
26.930969,3,16.041103
26.839648,3,16.043675
35.318906,4,16.075596
35.144822,4,16.078929
26.937728,3,16.102108
35.335813,4,16.105731
26.932904,3,16.128955
35.404854,4,16.132365
26.75333,3,16.154803
35.196371,4,16.158661
35.340902,4,16.190327
26.941362,3,16.192993
26.953793,3,16.215556
35.326567,4,16.218967
26.892201,3,16.242234
26.872846,3,16.24501
35.260849,4,16.277568
35.160381,4,16.280942
35.126559,4,16.311636
26.835169,3,16.31439
26.747539,3,16.337882
26.817835,3,16.340711
35.257581,4,16.372278
35.197866,4,16.37574
35.222308,4,16.406307
26.875479,3,16.40922
35.164797,4,16.439609
35.202469,4,16.44334
26.895967,3,16.467178
35.31421,4,16.470519
35.173232,4,16.501099
35.316268,4,16.504513
35.199115,4,16.534506
35.376725,4,16.53811
26.9229,3,16.561822
26.922152,3,16.564482
26.868872,3,16.587019
35.273625,4,16.590835
35.34813,4,16.622011
26.956396,3,16.624794
26.957821,3,16.647589
35.303774,4,16.650894
26.839316,3,16.674134
35.29594,4,16.677549
35.190236,4,16.708412
35.249804,4,16.711718
35.227692,4,16.742453
35.266359,4,16.745778
26.876627,3,16.768865
26.896169,3,16.771593
35.260818,4,16.802481
35.162651,4,16.806614
35.272979,4,16.837547
26.947725,3,16.840378
35.232918,4,16.870901
26.86185,3,16.873465
35.13972,4,16.903505
26.846561,3,16.906348
35.191537,4,16.937882
35.184662,4,16.941439
35.325022,4,16.971879
35.254718,4,16.975214
26.941737,3,16.998381
35.270094,4,17.001791
35.343444,4,17.033046
35.170949,4,17.036377
26.88801,3,17.059965
26.884795,3,17.062504
35.253151,4,17.092008
35.217499,4,17.095363
35.189373,4,17.125968
26.845209,3,17.128613
26.94902,3,17.150465
26.874143,3,17.153091
26.886717,3,17.176362
35.181373,4,17.179665
35.184819,4,17.20966
35.33225,4,17.212987
35.296668,4,17.24695
35.237141,4,17.250287
35.258613,4,17.283098
26.892918,3,17.285703
35.260179,4,17.31582
35.27302,4,17.319372
26.956308,3,17.343796
26.969029,3,17.346364
35.198105,4,17.376769
35.13533,4,17.380351
26.952616,3,17.403198
35.283578,4,17.406555
26.963129,3,17.429461
26.911366,3,17.432401
26.803477,3,17.455802
26.868832,3,17.45842
26.8581,3,17.481202
26.758821,3,17.483963
35.333371,4,17.514507
35.173883,4,17.517865
26.903384,3,17.541944
35.25248,4,17.545222
35.275434,4,17.575987
26.904115,3,17.578713
26.966635,3,17.600859
35.256689,4,17.604368
26.817946,3,17.626721
35.148095,4,17.63026
26.901718,3,17.654229
